ds,yhat
2015-11-01,1799.6941194794356
2015-11-02,1787.209816519992
2015-11-03,1788.8104438937048
2015-11-04,1786.070971052267
2015-12-01,1782.8239361063809
2015-12-02,1788.4232339824957
2015-12-03,1783.1051323223253
2015-12-04,1773.2364438071759
2015-12-05,1771.367060592731
2016-01-01,1762.7630758375717
2016-01-02,1762.3157061079921
2016-01-03,1767.7921329736262
2016-01-04,1763.8044754010034
2016-02-01,1750.5356872284065
2016-02-02,1762.6299934249682
2016-02-03,1769.9216740200397
2016-02-04,1766.6115270957653
2016-03-01,1749.0430068468856
2016-03-02,1756.9624888529518
2016-03-03,1755.0964041076877
2016-03-04,1749.747626660797
2016-03-05,1753.372696473757
2016-04-01,1734.9728078819232
2016-04-02,1722.870832985529
2016-04-03,1717.0007503572717
2016-04-04,1702.1555020152412
2016-05-01,1726.6800623021434
2016-05-02,1729.1483420543339
2016-05-03,1744.930171449702
2016-05-04,1755.4207913186233
2016-06-01,1775.022292162119
2016-06-02,1772.2302281319585
2016-06-03,1765.5689289009495
2016-06-04,1767.5075854140025
2016-06-05,1775.7877254387777
2016-07-01,1767.5521476953202
2016-07-02,1762.34775155597
2016-07-03,1763.3713818255064
2016-07-04,1755.3161159508184
2016-08-01,1761.0212152108038
2016-08-02,1773.0414672729883
2016-08-03,1780.1773158932567
2016-08-04,1776.686626813782
2016-08-05,1768.9061611105767
2016-09-01,1796.497500367719
2016-09-02,1787.1713771851505
2016-09-03,1786.0753128749725
2016-09-04,1791.1155678372368
2016-10-01,1800.2847407326044
2016-10-02,1811.7187406795292
2016-10-03,1814.3870324285535
2016-10-04,1831.1897697789414
2016-11-01,1820.8583857160597
2016-11-02,1817.7992119918242
2016-11-03,1804.6413186038976
2016-11-04,1787.843967488174
2016-11-05,1780.026263623189
2016-12-01,1808.8674659965
2016-12-02,1799.6968658226508
2016-12-03,1798.484602022497
2016-12-04,1803.0546200877764
2017-01-01,1797.5085999444514
2017-01-02,1794.0361228258896
2017-01-03,1804.0901600803156
2017-01-04,1809.1052611529117
2017-02-01,1801.6157556729265
2017-02-02,1798.6222496063815
2017-02-03,1791.3887298819068
2017-02-04,1792.3631422835456
2017-03-01,1791.8664846410995
2017-03-02,1789.3031765238952
2017-03-03,1783.306440554351
2017-03-04,1786.3547492749803
2017-03-05,1796.1858665986515
2017-04-01,1779.2827582300981
2017-04-02,1773.5411377123312
2017-04-03,1758.6218264500205
2017-04-04,1757.6720706207748
2017-05-01,1767.5414882648242
2017-05-02,1784.0836671216816
2017-05-03,1795.4092911657328
2017-05-04,1795.7278223890507
2017-05-05,1791.3367503308473
2017-06-01,1819.6989293919978
2017-06-02,1812.8664142133225
2017-06-03,1814.6911029522932
2017-06-04,1822.920419169236
2017-07-01,1822.1053981432133
2017-07-02,1823.2368788462873
2017-07-03,1815.2205252788035
2017-07-04,1821.0966548489378
2017-08-01,1828.8992161384322
2017-08-02,1836.3672833347662
2017-08-03,1833.2277813490336
2017-08-04,1825.8090381420375
2017-08-05,1826.6176192542116
2017-09-01,1849.7312772779128
2017-09-02,1848.9895115381057
2017-09-03,1854.2754058321566
2017-09-04,1850.2084814155805
2017-10-01,1867.9547377985718
